Instance, Scheduled (%), Cost, Mods., Elegible req., Feasible mods., Feasible req., Max. cost save (%), Feasible cost save (%)
 60r-10v,  60 (100.0), 729.32,  557,   59,  178,   26,  188.42 (25.8),  39.19 (5.4)
 60r-15v,  60 (100.0), 752.94,  628,   59,  173,   26,  180.35 (24.0),  42.84 (5.7)
 60r-20v,  60 (100.0), 745.57,  607,   59,  158,   25,  168.88 (22.7),  39.47 (5.3)
120r-10v, 120 (100.0), 1423.05,  1286,  117,  254,   34,  222.26 (15.6),  52.94 (3.7)
120r-15v, 120 (100.0), 1487.18,  1299,  118,  203,   28,  205.71 (13.8),  39.10 (2.6)
120r-20v, 120 (100.0), 1445.58,  1257,  116,  220,   26,  230.87 (16.0),  37.95 (2.6)
180r-10v, 158 (87.8), 1860.04,  1725,  151,  284,   37,  255.38 (13.7),  53.86 (2.9)
180r-15v, 180 (100.0), 2129.22,  1970,  173,  265,   33,  214.41 (10.1),  44.19 (2.1)
180r-20v, 180 (100.0), 2167.34,  1830,  169,  369,   49,  366.65 (16.9),  77.88 (3.6)
240r-10v, 176 (73.3), 2156.55,  1853,  166,  218,   31,  220.53 (10.2),  48.97 (2.3)
240r-15v, 235 (97.9), 2593.88,  2294,  217,  312,   47,  303.96 (11.7),  67.02 (2.6)
240r-20v, 240 (100.0), 2507.24,  2302,  221,  343,   52,  322.56 (12.9),  74.51 (3.0)
300r-10v, 191 (63.7), 2055.96,  1973,  182,  121,   26,  125.23 (6.1),  43.10 (2.1)
300r-15v, 261 (87.0), 2918.50,  2818,  253,  129,   30,  123.75 (4.2),  36.46 (1.2)
300r-20v, 291 (97.0), 3095.24,  2802,  279,  260,   45,  218.02 (7.0),  60.67 (2.0)
360r-10v, 187 (51.9), 2033.90,  1987,  181,  138,   22,  139.37 (6.9),  33.77 (1.7)
360r-15v, 281 (78.1), 2936.32,  2815,  267,  192,   38,  158.30 (5.4),  43.64 (1.5)
360r-20v, 346 (96.1), 3629.06,  3328,  331,  334,   49,  297.79 (8.2),  63.34 (1.7)
420r-10v, 207 (49.3), 2118.83,  2118,  189,  185,   28,  156.73 (7.4),  38.65 (1.8)
420r-15v, 305 (72.6), 3060.53,  3143,  288,  244,   37,  192.90 (6.3),  47.28 (1.5)
420r-20v, 377 (89.8), 3951.45,  3977,  352,  390,   64,  336.73 (8.5),  86.55 (2.2)
480r-10v, 205 (42.7), 2056.42,  1987,  191,  116,   18,  109.21 (5.3),  25.75 (1.3)
480r-15v, 302 (62.9), 3075.10,  2877,  278,  164,   29,  197.61 (6.4),  54.35 (1.8)
480r-20v, 402 (83.8), 4014.30,  3703,  374,  294,   47,  256.47 (6.4),  65.87 (1.6)
540r-10v, 206 (38.1), 2098.59,  2091,  192,  127,   17,  99.74 (4.8),  21.04 (1.0)
540r-15v, 309 (57.2), 3113.11,  2969,  288,  266,   35,  233.86 (7.5),  53.01 (1.7)
540r-20v, 400 (74.1), 4027.55,  3852,  368,  248,   48,  242.88 (6.0),  68.59 (1.7)
600r-10v, 221 (36.8), 2123.38,  2103,  208,   92,   16,  90.49 (4.3),  21.60 (1.0)
600r-15v, 318 (53.0), 3073.66,  3081,  293,  155,   22,  144.44 (4.7),  29.74 (1.0)
600r-20v, 411 (68.5), 4006.91,  3976,  384,  263,   49,  237.76 (5.9),  62.32 (1.6)
